198.png	woman teacher	👩‍🏫️	\U0001F469\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+200D U+1F3EB	woman teacher
199.png	woman teacher: light skin tone	👩🏻‍🏫️	\U0001F469\U0001F3FB\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F3EB	woman teacher: light skin tone
200.png	woman teacher: medium-light skin tone	👩🏼‍🏫️	\U0001F469\U0001F3FC\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F3EB	woman teacher: medium-light skin tone
201.png	woman teacher: medium skin tone	👩🏽‍🏫️	\U0001F469\U0001F3FD\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F3EB	woman teacher: medium skin tone
202.png	woman teacher: medium-dark skin tone	👩🏾‍🏫️	\U0001F469\U0001F3FE\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F3EB	woman teacher: medium-dark skin tone
203.png	woman teacher: dark skin tone	👩🏿‍🏫️	\U0001F469\U0001F3FF\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F3EB	woman teacher: dark skin tone
204.png	man judge	👨‍⚖️️	\U0001F468\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2696 U+FE0F	man judge
205.png	man judge: light skin tone	👨🏻‍⚖️️	\U0001F468\U0001F3FB\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+1F3FB U+200D U+2696 U+FE0F	man judge: light skin tone
206.png	man judge: medium-light skin tone	👨🏼‍⚖️️	\U0001F468\U0001F3FC\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+1F3FC U+200D U+2696 U+FE0F	man judge: medium-light skin tone
207.png	man judge: medium skin tone	👨🏽‍⚖️️	\U0001F468\U0001F3FD\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+1F3FD U+200D U+2696 U+FE0F	man judge: medium skin tone
208.png	man judge: medium-dark skin tone	👨🏾‍⚖️️	\U0001F468\U0001F3FE\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+1F3FE U+200D U+2696 U+FE0F	man judge: medium-dark skin tone
